Ensembl.gene.ID	Ensembl.transcript.ID	RefSeq.mRNA.ID	Gene.name	UCSC.ID
ENSG00000131495	ENST00000252102	NM_002488	NDUFA2	uc003lgp.4
ENSG00000113119	ENST00000252100	NM_001300980	TMCO6	uc003lgm.4
ENSG00000113119	ENST00000394671	NM_001300982	TMCO6	uc003lgl.4
ENSG00000113119	ENST00000394671	NM_018502	TMCO6	uc003lgl.4
ENSG00000170458	ENST00000302014	NM_000591	CD14	uc003lgi.3
ENSG00000113108	ENST00000412920	NM_133174	APBB3	uc003lge.2
ENSG00000113108	ENST00000356738	NM_133172	APBB3	uc003lgd.2
ENSG00000213523	ENST00000336283	NM_001035235	SRA1	uc003lga.4
ENSG00000243056	ENST00000310331	NM_003732	EIF4EBP3	uc003lfy.1
ENSG00000254996	ENST00000532219	NM_020690	ANKHD1-EIF4EBP3	uc003lfs.3
ENSG00000131503	ENST00000360839	NM_017747	ANKHD1	uc003lfr.3
ENSG00000131503	ENST00000394722	NM_017978	ANKHD1	uc003lfp.4
ENSG00000131503	ENST00000394723	NM_024668	ANKHD1	uc003lfo.4
ENSG00000113073	ENST00000507527	NM_001258428	SLC4A9	uc003lfm.4
ENSG00000113073	ENST00000506757	NM_031467	SLC4A9	uc003lfl.3
ENSG00000113073	ENST00000432095	NM_001258426	SLC4A9	uc003lfk.3
ENSG00000113070	ENST00000230990	NM_001945	HBEGF	uc003lfi.4
ENSG00000113068	ENST00000261813	NM_002622	PFDN1	uc003lff.2
ENSG00000120306	ENST00000261811	NM_032412	CYSTM1	uc003lfd.4
ENSG00000182700	ENST00000333305	NM_001007189	IGIP	uc003lfb.2
ENSG00000185129	ENST00000331327	NM_005859	PURA	uc003lfa.4
ENSG00000158458	ENST00000289409	NM_013981	NRG2	uc003ley.3
ENSG00000158458	ENST00000361474	NM_004883	NRG2	uc003lex.3
ENSG00000158458	ENST00000358522	NM_013983	NRG2	uc003lew.3
ENSG00000158458	ENST00000289422	NM_013982	NRG2	uc003lev.3
ENSG00000146005	ENST00000274710	NM_032289	PSD2	uc003leu.2
ENSG00000171604	ENST00000511048	NM_001317200	CXXC5	uc003let.3
ENSG00000171604	ENST00000511048	NM_001317204	CXXC5	uc003let.3
ENSG00000171604	ENST00000511048	NM_001317203	CXXC5	uc003let.3
ENSG00000131508	ENST00000398733	NM_003339	UBE2D2	uc003ler.3
ENSG00000184584	ENST00000330794	NM_198282	TMEM173	uc003lep.4
ENSG00000170464	ENST00000302060	NM_152686	DNAJC18	uc003len.4
ENSG00000170469	ENST00000450845	NM_194296	SPATA24	uc003lel.5
ENSG00000170476	ENST00000302125	NM_016459	MZB1	uc003lei.4
ENSG00000170482	ENST00000348729	NM_005847	SLC23A1	uc003leh.4
ENSG00000170482	ENST00000353963	NM_152685	SLC23A1	uc003leg.4
ENSG00000120727	ENST00000510080	NM_001033112	PAIP2	uc003lef.5
ENSG00000120727	ENST00000265192	NM_016480	PAIP2	uc003led.5
ENSG00000015479	ENST00000618441	NM_001194955	MATR3	uc003ldz.3
ENSG00000015479	ENST00000394805	NM_018834	MATR3	uc003ldx.4
ENSG00000280987	ENST00000504203	NM_001282278	MATR3	uc003ldt.4
ENSG00000120725	ENST00000394817	NM_022464	SIL1	uc003ldp.4
ENSG00000120725	ENST00000265195	NM_001037633	SIL1	uc003ldo.4
ENSG00000044115	ENST00000540387	NM_001324010	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324012	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323987	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324004	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324008	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323989	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324011	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323995	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324006	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323992	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323997	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323988	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323994	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324001	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001290312	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324002	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324009	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324013	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324000	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323991	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323990	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324003	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324007	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323999	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323998	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001324005	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323993	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000540387	NM_001323996	CTNNA1	uc003ldl.4
ENSG00000044115	ENST00000302763	NM_001323983	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001290309	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001290310	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001323986	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001323985	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001903	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001323984	CTNNA1	uc003ldh.4
ENSG00000044115	ENST00000302763	NM_001323982	CTNNA1	uc003ldh.4
ENSG00000113013	ENST00000649126	NM_004134	HSPA9	uc003ldf.4
ENSG00000120705	ENST00000499810	NM_001291974	ETF1	uc003ldd.6
ENSG00000120705	ENST00000499810	NM_001256302	ETF1	uc003ldd.6
ENSG00000120705	ENST00000499810	NM_001291975	ETF1	uc003ldd.6
ENSG00000120705	ENST00000360541	NM_004730	ETF1	uc003ldc.6
ENSG00000120705	ENST00000360541	NM_001364160	ETF1	uc003ldc.6
ENSG00000120738	ENST00000239938	NM_001964	EGR1	uc003ldb.2
